NCESID,UD_SchooName,UD_StateProgram,UD_CountyName,UD_StateABV,UD_ZIP,Y14_data,Y14_GradeLevel_WithPreschool,UD_LocaleNum,UD_Locale,Y14_Enrollment_CAT,Y14_FreeReducedLunch_CAT,Y14_NONWHITE_CAT2,Y14_ImplementationLevel,Y14_UnifiedSportsComponent,Y14_YouthLeadershipComponent,Y14_WholeSchoolComponent,Y13_GradeLevel_WithPreschool,Y13_ImplementationLevel,Y13_NONWHITE_CAT2,Y13_data,Y13_UnifiedSportsComponent,Y13_YouthLeadershipComponent,Y13_WholeSchoolComponent
31491,SETON CATHOLIC PREPARATORY HIGH SCHOOL,Arizona,MARICOPA,AZ,85224,1,Other,21,Suburb: Large,777,777,777,Emerging,0,0,1,#NULL!,99.00,#NULL!,0.00,#NULL!,#NULL!,#NULL!
31811,NEW WAY ACADEMY,Arizona,MARICOPA,AZ,85008,0,#NULL!,11,City: Large,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,99.00,#NULL!,0.00,#NULL!,#NULL!,#NULL!
32043,YUMA LUTHERAN SCHOOL,Arizona,YUMA,AZ,85365,0,#NULL!,13,City: Small,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Other,Developing School,11%-25%,1.00,1.00,0.00,1.00
70125,ST JOSEPH HIGH SCHOOL,Southern California,SANTA BARBARA,SCA,93455,0,#NULL!,22,Suburb: Midsize,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,99.00,#NULL!,0.00,#NULL!,#NULL!,#NULL!
71424,CHAMINADE COLLEGE PREPARATORY - HIGH SCHOOL,Southern California,LOS ANGELES,SCA,91304,0,#NULL!,11,City: Large,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,99.00,#NULL!,0.00,#NULL!,#NULL!,#NULL!
71446,NOTRE DAME HIGH SCHOOL,Southern California,Los Angeles,SCA,91423,0,#NULL!,11,City: Large,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,99.00,#NULL!,0.00,#NULL!,#NULL!,#NULL!
71741,LOYOLA HIGH SCHOOL,Southern California,LOS ANGELES,SCA,90006,0,#NULL!,11,City: Large,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,99.00,#NULL!,0.00,#NULL!,#NULL!,#NULL!
72111,CHAMINADE COLLEGE PREPARATORY - MIDDLE SCHOOL,Southern California,LOS ANGELES,SCA,91311,0,#NULL!,11,City: Large,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,99.00,#NULL!,0.00,#NULL!,#NULL!,#NULL!
72315,WOODSIDE PRIORY SCHOOL,Northern California,SAN MATEO,NCA,94028,1,Other,21,-99,<500,777,777,Emerging,0,0,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
73498,MERCY HIGH SCHOOL,Northern California,SAN MATEO,NCA,94010,0,#NULL!,21,Suburb: Large,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,99.00,#NULL!,0.00,#NULL!,#NULL!,#NULL!
73771,SACRED HEART SCHOOLS ATHERTON,Northern California,SAN MATEO,NCA,94027,0,#NULL!,21,Suburb: Large,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,99.00,#NULL!,0.00,#NULL!,#NULL!,#NULL!
74902,DE LA SALLE HIGH SCHOOL,Northern California,CONTRA COSTA,NCA,94518,0,#NULL!,21,Suburb: Large,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,99.00,#NULL!,0.00,#NULL!,#NULL!,#NULL!
74913,CARONDELET HIGH SCHOOL,Northern California,CONTRA COSTA,NCA,94518,0,#NULL!,21,Suburb: Large,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,99.00,#NULL!,0.00,#NULL!,#NULL!,#NULL!
77721,CARDINAL NEWMAN HIGH SCHOOL,Northern California,SONOMA,NCA,95403,0,#NULL!,21,Suburb: Large,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,99.00,#NULL!,0.00,#NULL!,#NULL!,#NULL!
81476,BRENTWOOD SCHOOL,Southern California,LOS ANGELES,SCA,90049,0,#NULL!,11,City: Large,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,99.00,#NULL!,0.00,#NULL!,#NULL!,#NULL!
81975,FLINTRIDGE PREPARATORY SCHOOL,Southern California,LOS ANGELES,SCA,91011,0,#NULL!,21,Suburb: Large,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,99.00,#NULL!,0.00,#NULL!,#NULL!,#NULL!
83451,CRYSTAL SPRINGS UPLANDS SCHOOL,Northern California,SAN MATEO,NCA,94010,0,#NULL!,21,Suburb: Large,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Other,Emerging School,51%-75%,1.00,0.00,0.00,0.00
92058,WINDWARD SCHOOL,Southern California,LOS ANGELES,SCA,90066,0,#NULL!,11,City: Large,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,99.00,#NULL!,0.00,#NULL!,#NULL!,#NULL!
208585,ALL SOULS CATHOLIC SCHOOL,Colorado,ARAPAHOE,CO,80113,0,#NULL!,21,Suburb: Large,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,99.00,#NULL!,0.00,#NULL!,#NULL!,#NULL!
249486,PADUA ACADEMY,Delaware,NEW CASTLE,DE,19806,0,#NULL!,13,City: Small,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,99.00,#NULL!,0.00,#NULL!,#NULL!,#NULL!
249646,URSULINE ACADEMY (PK-12),Delaware,NEW CASTLE,DE,19806,0,#NULL!,13,City: Small,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,99.00,#NULL!,0.00,#NULL!,#NULL!,#NULL!
